HOTEL_DEPARTURE_DATE,COMMISSION_SHARE
1/1/2016,9.98
1/2/2016,14.09
1/3/2016,13.27
1/4/2016,14.34
1/5/2016,13.78
1/6/2016,13.71
1/7/2016,13.91
1/8/2016,13.99
1/9/2016,13.51
1/10/2016,13.84
1/11/2016,13.86
1/12/2016,14.14
1/13/2016,14.45
1/14/2016,14.34
1/15/2016,14.32
1/16/2016,12.52
1/17/2016,14.12
1/18/2016,14.27
1/19/2016,14.3
1/20/2016,14.47
1/21/2016,14.49
1/22/2016,14.25
1/23/2016,13.76
1/24/2016,14.29
1/25/2016,14.33
1/26/2016,14.43
1/27/2016,14.47
1/28/2016,14.5
1/29/2016,14.23
1/30/2016,13.36
1/31/2016,12.01
2/1/2016,14.36
2/2/2016,14.41
2/3/2016,14.46
2/4/2016,14.48
2/5/2016,14.31
2/6/2016,14.01
2/7/2016,13.97
2/8/2016,13.95
2/9/2016,14.35
2/10/2016,14.42
2/11/2016,14.46
2/12/2016,14.28
2/13/2016,14.28
2/14/2016,14.21
2/15/2016,14.36
2/16/2016,14.47
2/17/2016,14.53
2/18/2016,14.4
2/19/2016,14.37
2/20/2016,14.25
2/21/2016,14.41
2/22/2016,14.3
2/23/2016,14.55
2/24/2016,14.52
2/25/2016,14.46
2/26/2016,14.14
2/27/2016,14.18
2/28/2016,14.06
2/29/2016,11.5
3/1/2016,14.13
3/2/2016,14.4
3/3/2016,14.52
3/4/2016,13.98
3/5/2016,13.92
3/6/2016,14.24
3/7/2016,14.26
3/8/2016,14.34
3/9/2016,14.47
3/10/2016,14.46
3/11/2016,14.25
3/12/2016,13.98
3/13/2016,14.39
3/14/2016,13.93
3/15/2016,14.27
3/16/2016,14.41
3/17/2016,14.52
3/18/2016,14.37
3/19/2016,12.8
3/20/2016,13.65
3/21/2016,13.72
3/22/2016,14.49
3/23/2016,14.33
3/24/2016,14.37
3/25/2016,13.5
3/26/2016,12.68
3/27/2016,12.66
3/28/2016,12.26
3/29/2016,12.73
3/30/2016,14.17
3/31/2016,13.98
4/1/2016,14.43
4/2/2016,14.33
4/3/2016,14.31
4/4/2016,14.19
4/5/2016,14.36
4/6/2016,14.42
4/7/2016,14.43
4/8/2016,14.42
4/9/2016,14.24
4/10/2016,14.05
4/11/2016,14.14
4/12/2016,14.44
4/13/2016,14.42
4/14/2016,14.41
4/15/2016,14.3
4/16/2016,13.98
4/17/2016,13.89
4/18/2016,13.82
4/19/2016,14.32
4/20/2016,14.31
4/21/2016,14.36
4/22/2016,14.24
4/23/2016,13.7
4/24/2016,13.92
4/25/2016,14.06
4/26/2016,14.25
4/27/2016,14.26
4/28/2016,14.35
4/29/2016,14.4
4/30/2016,13.52
5/1/2016,14.15
5/2/2016,14
5/3/2016,14.32
5/4/2016,14.39
5/5/2016,14.04
5/6/2016,13.96
5/7/2016,14.1
5/8/2016,14.28
5/9/2016,14.34
5/10/2016,14.4
5/11/2016,14.37
5/12/2016,14.46
5/13/2016,14.38
5/14/2016,14.13
5/15/2016,13.41
5/16/2016,14.23
5/17/2016,14.08
5/18/2016,14.18
5/19/2016,14.28
5/20/2016,14.12
5/21/2016,13.46
5/22/2016,13.53
5/23/2016,14.21
5/24/2016,14.26
5/25/2016,14.26
5/26/2016,14.14
5/27/2016,14.03
5/28/2016,13.36
5/29/2016,13.87
5/30/2016,14.19
5/31/2016,14.03
6/1/2016,14.34
6/2/2016,14.48
6/3/2016,14.36
6/4/2016,13.83
6/5/2016,13.36
6/6/2016,14.06
6/7/2016,14.33
6/8/2016,14.44
6/9/2016,14.32
6/10/2016,14.25
6/11/2016,13.97
6/12/2016,13.55
6/13/2016,14.02
